09:53:39:309   account
09:53:58:622   委托号:-9999,反馈信息:错误信息:校验委托买入单位,卖出单位失败(p_entrust_amount=1.00,v_store_unit=1,p_buy_unit=100,v_sell_unit=100)
13:23:10:370   新高突破买入26444479-78ba-4c77-a169-29e517880b26   模型恢复  合约 002182  数量 600  成本价 15.9330  方向 0  开仓时间 20160425 093007  最高价 16.21
13:23:10:370   新高突破买入26444479-78ba-4c77-a169-29e517880b26   模型恢复  合约 600132  数量 600  成本价 14.4720  方向 0  开仓时间 20160503 093007  最高价 14.55
13:23:10:371   新高突破买入26444479-78ba-4c77-a169-29e517880b26   模型恢复  合约 600313  数量 300  成本价 12.7070  方向 0  开仓时间 20160428 093007  最高价 13.1
13:23:10:372   增加模型,新高突破买入26444479-78ba-4c77-a169-29e517880b26
13:23:10:375   新高突破买入26444479-78ba-4c77-a169-29e517880b26   持仓订阅 002182 行情
13:23:10:441   新高突破买入26444479-78ba-4c77-a169-29e517880b26   持仓订阅 600132 行情
13:23:10:482   新高突破买入26444479-78ba-4c77-a169-29e517880b26   持仓订阅 600313 行情
13:23:10:729   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:603609 日期:20160405,最高价:14.400,最低价:10.300,不满足区间:0.300
13:23:10:730   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 603609
13:23:10:772   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:603399 日期:20160104,最高价:15.030,最低价:11.360,不满足区间:0.300
13:23:10:773   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 603399
13:23:10:805   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:603369 日期:20160429,最高价:36.820,最低价:28.010,不满足区间:0.300
13:23:10:806   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 603369
13:23:11:017   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:603188 日期:20160127,最高价:20.000,最低价:15.150,不满足区间:0.300
13:23:11:017   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 603188
13:23:11:454   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约: 600313 卖出 当前日期 20160509  最新价 11.870  最高价 13.100  买一价 11.860  卖一价 11.870  成本价 12.707  成交价1 11.135  成交价2 12.707
13:23:11:455   新高突破买入26444479-78ba-4c77-a169-29e517880b26   600313 农发种业|SP|11.8600|
13:23:11:455   新高突破买入26444479-78ba-4c77-a169-29e517880b26   账户：57152456 卖平 合约：600313 农发种业 价格：11.8600 数量：300
13:23:11:468   新高突破买入26444479-78ba-4c77-a169-29e517880b26   当前持仓量 2
13:23:11:686   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:601799 日期:20160405,最高价:36.830,最低价:27.980,不满足区间:0.300
13:23:11:686   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 601799
13:23:11:889   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:601599 日期:20160321,最高价:20.490,最低价:15.510,不满足区间:0.300
13:23:11:891   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 601599
13:23:12:645   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:601100 日期:20160421,最高价:14.450,最低价:11.050,不满足区间:0.300
13:23:12:646   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 601100
13:23:13:025   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600992
13:23:13:054   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600988 日期:20160412,最高价:21.380,最低价:16.130,不满足区间:0.300
13:23:13:055   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600988
13:23:13:116   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600987 日期:20160428,最高价:16.580,最低价:12.400,不满足区间:0.300
13:23:13:117   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600987
13:23:13:209   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600985 日期:20160420,最高价:12.110,最低价:8.930,不满足区间:0.300
13:23:13:209   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600985
13:23:13:687   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600960 日期:20160420,最高价:12.000,最低价:9.090,不满足区间:0.300
13:23:13:688   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600960
13:23:14:025   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600890 日期:20160408,最高价:9.230,最低价:7.100,不满足区间:0.300
13:23:14:026   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600890
13:23:14:132   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600885 日期:20160406,最高价:29.050,最低价:22.050,不满足区间:0.300
13:23:14:133   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600885
13:23:14:242   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600883 日期:20160419,最高价:19.000,最低价:14.200,不满足区间:0.300
13:23:14:243   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600883
13:23:14:298   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600882 日期:20160229,最高价:9.800,最低价:7.430,不满足区间:0.300
13:23:14:299   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600882
13:23:14:402   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600877 日期:20160218,最高价:7.380,最低价:5.670,不满足区间:0.300
13:23:14:404   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600877
13:23:14:617   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600870 日期:20160217,最高价:7.060,最低价:5.430,不满足区间:0.300
13:23:14:618   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600870
13:23:14:659   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600866 日期:20160418,最高价:7.480,最低价:5.560,不满足区间:0.300
13:23:14:660   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600866
13:23:14:990   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600857 日期:20160413,最高价:17.800,最低价:13.500,不满足区间:0.300
13:23:14:990   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600857
13:23:15:040   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600856 日期:20160129,最高价:24.800,最低价:19.010,不满足区间:0.300
13:23:15:042   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600856
13:23:15:261   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约: 002182 卖出 当前日期 20160509  最新价 14.330  最高价 16.210  买一价 14.320  卖一价 14.330  成本价 15.933  成交价1 13.779  成交价2 15.933
13:23:15:262   新高突破买入26444479-78ba-4c77-a169-29e517880b26   002182 云海金属|SP|14.3200|
13:23:15:262   新高突破买入26444479-78ba-4c77-a169-29e517880b26   账户：57152456 卖平 合约：002182 云海金属 价格：14.3200 数量：600
13:23:15:272   新高突破买入26444479-78ba-4c77-a169-29e517880b26   当前持仓量 1
13:23:15:492   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600843 日期:20160108,最高价:17.200,最低价:12.380,不满足区间:0.300
13:23:15:493   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600843
13:23:15:948   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600828 日期:20151229,最高价:10.500,最低价:7.920,不满足区间:0.300
13:23:15:949   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600828
13:23:16:032   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600822 日期:20160301,最高价:14.760,最低价:11.000,不满足区间:0.300
13:23:16:033   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600822
13:23:16:080   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600821 日期:20160419,最高价:9.600,最低价:7.370,不满足区间:0.300
13:23:16:081   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600821
13:23:16:185   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600818 日期:20160420,最高价:45.300,最低价:33.830,不满足区间:0.300
13:23:16:185   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600818
13:23:16:241   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600815 日期:20160413,最高价:8.320,最低价:6.140,不满足区间:0.300
13:23:16:247   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600815
13:23:16:296   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600891,可用资金:10000.00,可用数量900
13:23:16:305   新高突破买入26444479-78ba-4c77-a169-29e517880b26   600891|秋林集团|BK|10.2200|
13:23:16:306   新高突破买入26444479-78ba-4c77-a169-29e517880b26   57152456|买开|600891|秋林集团|10.2200|900
13:23:16:322   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约: 600891 买入 当前日期 20160509  最新价 10.220  买一价 10.210  卖一价 10.220  前最高价 10.090  当前持仓数量 2
13:23:16:380   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600809 日期:20160504,最高价:21.750,最低价:16.060,不满足区间:0.300
13:23:16:381   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600809
13:23:16:436   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600807 日期:20160429,最高价:15.320,最低价:11.200,不满足区间:0.300
13:23:16:437   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600807
13:23:16:487   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600806 日期:20160421,最高价:11.500,最低价:8.510,不满足区间:0.300
13:23:16:488   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600806
13:23:16:578   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600803 日期:20160406,最高价:13.170,最低价:9.950,不满足区间:0.300
13:23:16:579   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600803
13:23:16:693   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600800 日期:20160418,最高价:9.460,最低价:7.000,不满足区间:0.300
13:23:16:693   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600800
13:23:16:780   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600796 日期:20160415,最高价:12.290,最低价:9.410,不满足区间:0.300
13:23:16:781   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600796
13:23:16:925   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600785 日期:20160329,最高价:30.110,最低价:22.300,不满足区间:0.300
13:23:16:926   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600785
13:23:17:041   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600779 日期:20160504,最高价:13.960,最低价:10.720,不满足区间:0.300
13:23:17:042   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600779
13:23:17:090   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600778 日期:20160427,最高价:11.850,最低价:8.950,不满足区间:0.300
13:23:17:091   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600778
13:23:17:356   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600769 日期:20160420,最高价:10.850,最低价:8.280,不满足区间:0.300
13:23:17:357   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600769
13:23:17:545   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600764 日期:20160504,最高价:20.950,最低价:16.100,不满足区间:0.300
13:23:17:546   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600764
13:23:17:683   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600760 日期:20160425,最高价:13.500,最低价:10.350,不满足区间:0.300
13:23:17:684   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600760
13:23:17:780   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600754 日期:20160420,最高价:49.330,最低价:37.230,不满足区间:0.300
13:23:17:780   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600754
13:23:17:843   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600750 日期:20160415,最高价:33.500,最低价:25.560,不满足区间:0.300
13:23:17:847   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600750
13:23:17:911   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600746 日期:20160415,最高价:11.360,最低价:8.680,不满足区间:0.300
13:23:17:914   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600746
13:23:17:964   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600745 日期:20160104,最高价:47.990,最低价:36.880,不满足区间:0.300
13:23:17:976   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600745
13:23:18:159   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600738 日期:20160229,最高价:9.500,最低价:7.210,不满足区间:0.300
13:23:18:161   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600738
13:23:18:243   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600734 日期:20160321,最高价:14.390,最低价:10.760,不满足区间:0.300
13:23:18:244   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600734
13:23:18:254   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600732
13:23:18:343   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600730 日期:20160331,最高价:17.770,最低价:13.380,不满足区间:0.300
13:23:18:345   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600730
13:23:18:416   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600728 日期:20160229,最高价:10.650,最低价:7.840,不满足区间:0.300
13:23:18:416   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600728
13:23:18:823   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600714 日期:20160407,最高价:14.100,最低价:10.490,不满足区间:0.300
13:23:18:823   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600714
13:23:18:872   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600713 日期:20160428,最高价:8.880,最低价:6.500,不满足区间:0.300
13:23:18:875   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600713
13:23:18:915   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600710
13:23:18:998   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600707 日期:20160413,最高价:8.890,最低价:6.520,不满足区间:0.300
13:23:19:000   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600707
13:23:19:109   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600701 日期:20160426,最高价:18.800,最低价:13.990,不满足区间:0.300
13:23:19:110   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600701
13:23:19:222   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600696 日期:20160318,最高价:17.380,最低价:13.000,不满足区间:0.300
13:23:19:223   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600696
13:23:19:376   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600692 日期:20160407,最高价:17.030,最低价:12.330,不满足区间:0.300
13:23:19:377   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600692
13:23:19:693   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600678 日期:20160407,最高价:16.670,最低价:12.470,不满足区间:0.300
13:23:19:694   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600678
13:23:19:988   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600654 日期:20160406,最高价:34.980,最低价:25.960,不满足区间:0.300
13:23:19:989   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600654
13:23:20:113   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600650 日期:20160420,最高价:44.980,最低价:33.300,不满足区间:0.300
13:23:20:119   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600650
13:23:20:535   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600630 日期:20160420,最高价:24.830,最低价:18.710,不满足区间:0.300
13:23:20:536   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600630
13:23:20:589   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600629 日期:20160406,最高价:20.920,最低价:16.020,不满足区间:0.300
13:23:20:590   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600629
13:23:20:756   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600623 日期:20160427,最高价:27.620,最低价:21.200,不满足区间:0.300
13:23:20:757   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600623
13:23:21:184   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600610 日期:20160420,最高价:19.500,最低价:14.600,不满足区间:0.300
13:23:21:187   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600610
13:23:21:585   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600592 日期:20160328,最高价:10.960,最低价:8.370,不满足区间:0.300
13:23:21:585   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600592
13:23:21:846   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600584 日期:20151111,最高价:18.480,最低价:14.160,不满足区间:0.300
13:23:21:847   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600584
13:23:21:900   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600581 日期:20160112,最高价:10.500,最低价:7.650,不满足区间:0.300
13:23:21:902   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600581
13:23:21:926   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600891 日期:20160509,当天买入不能卖出！
13:23:21:997   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600579 日期:20160406,最高价:14.950,最低价:11.150,不满足区间:0.300
13:23:21:998   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600579
13:23:22:041   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600576 日期:20160318,最高价:20.240,最低价:15.120,不满足区间:0.300
13:23:22:042   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600576
13:23:22:087   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600573 日期:20160429,最高价:18.010,最低价:13.850,不满足区间:0.300
13:23:22:089   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600573
13:23:22:134   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600571 日期:20160113,最高价:52.090,最低价:39.190,不满足区间:0.300
13:23:22:136   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600571
13:23:22:396   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600556 日期:20160105,最高价:29.870,最低价:22.200,不满足区间:0.300
13:23:22:397   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600556
13:23:22:562   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600549 日期:20160419,最高价:23.070,最低价:17.600,不满足区间:0.300
13:23:22:563   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600549
13:23:22:650   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600543 日期:20160419,最高价:14.690,最低价:10.580,不满足区间:0.300
13:23:22:652   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600543
13:23:22:701   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600540 日期:20160415,最高价:8.330,最低价:6.330,不满足区间:0.300
13:23:22:702   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600540
13:23:22:742   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600539 日期:20160112,最高价:13.590,最低价:10.440,不满足区间:0.300
13:23:22:744   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600539
13:23:22:778   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600538 日期:20160331,最高价:15.060,最低价:11.510,不满足区间:0.300
13:23:22:779   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600538
13:23:22:939   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600531 日期:20160324,最高价:11.530,最低价:8.320,不满足区间:0.300
13:23:22:940   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600531
13:23:22:981   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600530 日期:20160321,最高价:21.550,最低价:15.660,不满足区间:0.300
13:23:22:982   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600530
13:23:23:127   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600525 日期:20160407,最高价:17.660,最低价:13.200,不满足区间:0.300
13:23:23:128   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600525
13:23:23:253   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600522 日期:20160427,最高价:22.000,最低价:16.510,不满足区间:0.300
13:23:23:254   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600522
13:23:23:448   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600511 日期:20160113,最高价:39.870,最低价:29.800,不满足区间:0.300
13:23:23:449   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600511
13:23:23:667   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600502 日期:20151012,最高价:13.370,最低价:10.230,不满足区间:0.300
13:23:23:668   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600502
13:23:23:866   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600491 日期:20160414,最高价:8.450,最低价:6.480,不满足区间:0.300
13:23:23:867   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600491
13:23:24:326   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600468 日期:20160114,最高价:19.300,最低价:13.820,不满足区间:0.300
13:23:24:327   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600468
13:23:24:497   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600462 日期:20160408,最高价:9.470,最低价:7.080,不满足区间:0.300
13:23:24:498   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600462
13:23:24:856   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600446 日期:20160321,最高价:34.550,最低价:26.020,不满足区间:0.300
13:23:24:856   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600446
13:23:24:931   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600438 日期:20160105,最高价:15.650,最低价:11.940,不满足区间:0.300
13:23:24:931   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600438
13:23:25:058   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600432 日期:20160428,最高价:11.270,最低价:8.220,不满足区间:0.300
13:23:25:059   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600432
13:23:25:217   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600423 日期:20160328,最高价:9.250,最低价:6.890,不满足区间:0.300
13:23:25:218   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600423
13:23:25:323   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600420 日期:20160422,最高价:37.150,最低价:28.410,不满足区间:0.300
13:23:25:324   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600420
13:23:25:586   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600400 日期:20160420,最高价:11.210,最低价:8.500,不满足区间:0.300
13:23:25:587   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600400
13:23:25:719   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600393 日期:20160411,最高价:11.180,最低价:8.600,不满足区间:0.300
13:23:25:720   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600393
13:23:25:759   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600392 日期:20160419,最高价:13.100,最低价:9.830,不满足区间:0.300
13:23:25:760   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600392
13:23:25:843   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600390 日期:20160107,最高价:16.330,最低价:12.240,不满足区间:0.300
13:23:25:844   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600390
13:23:25:937   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600386 日期:20160401,最高价:17.490,最低价:13.300,不满足区间:0.300
13:23:25:938   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600386
13:23:26:101   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600378 日期:20160504,最高价:16.850,最低价:12.820,不满足区间:0.300
13:23:26:102   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600378
13:23:26:452   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600363 日期:20160112,最高价:19.300,最低价:14.300,不满足区间:0.300
13:23:26:452   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600363
13:23:26:556   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600360 日期:20160401,最高价:9.560,最低价:7.320,不满足区间:0.300
13:23:26:557   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600360
13:23:26:603   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600359 日期:20160420,最高价:11.160,最低价:8.550,不满足区间:0.300
13:23:26:604   新高突破买入26444479-78ba-4c77-a169-29e517880b26   行情过滤 600359
13:23:26:648   新高突破买入26444479-78ba-4c77-a169-29e517880b26   合约:600358 日期:20160229,最高价:13.200,最低价:10.120,不满足区间:0.300
