
序号,合约,日期,开仓时,数量,价格,方向,开平,盈亏,手续费,权益,
0,600051,20140124,,5600,7.07,买,开,0.00,39.59,199960.41,
1,600055,20140124,,3300,12.03,买,开,0.00,39.70,199920.71,
2,600071,20140124,,6400,6.16,买,开,0.00,39.43,199881.28,
3,600075,20140124,,5800,6.79,买,开,0.00,39.37,199841.92,
4,600080,20140124,,4200,9.37,买,开,0.00,39.37,199802.55,
5,600071,20140220,,6400,7.39,卖,平,7886.08,47.32,207641.31,
6,600073,20140220,,4300,9.20,买,开,0.00,39.56,207601.75,
7,600073,20140224,,4300,8.47,卖,平,-3165.18,36.40,204400.17,
8,600093,20140224,,5800,6.82,买,开,0.00,39.54,204360.63,
9,600080,20140225,,4200,11.25,卖,平,7873.15,47.24,212186.54,
10,600093,20140225,,5800,6.27,卖,平,-3163.32,36.38,208986.84,
11,600095,20140321,,8100,4.88,买,开,0.00,39.51,208947.33,
12,600099,20140321,,7100,5.62,买,开,0.00,39.87,208907.46,
13,600051,20140409,,5600,8.48,卖,平,7918.40,47.51,216778.35,
14,600064,20140409,,5800,6.81,买,开,0.00,39.48,216738.87,
15,600099,20140421,,7100,6.74,卖,平,7974.15,47.84,224665.17,
16,600095,20140428,,8100,4.49,卖,平,-3161.14,36.35,221467.68,
17,600075,20140514,,5800,6.24,卖,平,-3149.26,36.22,218282.20,
18,600081,20140523,,3100,12.52,买,开,0.00,38.82,218243.38,
19,600130,20140523,,8600,4.65,买,开,0.00,39.96,218203.42,
20,600184,20140523,,3800,10.51,买,开,0.00,39.95,218163.47,
21,600184,20140609,,3800,9.67,卖,平,-3196.29,36.76,214930.43,
22,600052,20140610,,11400,3.50,买,开,0.00,39.95,214890.47,
23,600130,20140619,,8600,4.27,卖,平,-3196.45,36.76,211657.27,
24,600052,20140620,,11400,4.21,卖,平,7990.72,47.94,219600.04,
25,600038,20140630,,1400,26.67,买,开,0.00,37.34,219562.69,
26,600053,20140630,,4700,8.39,买,开,0.00,39.45,219523.25,
27,600081,20140714,,3100,15.03,卖,平,7764.88,46.59,227241.54,
28,600093,20140714,,6300,6.31,买,开,0.00,39.77,227201.77,
29,600038,20140902,,1400,32.01,卖,平,7468.75,44.81,234625.70,
30,600072,20140902,,3400,11.59,买,开,0.00,39.42,234586.28,
31,600064,20140909,,5800,8.17,卖,平,7896.58,47.38,242435.49,
32,600070,20140909,,5500,7.24,买,开,0.00,39.83,242395.66,
33,600055,20140917,,3300,14.43,卖,平,7939.21,47.64,250287.23,
34,600076,20140917,,5600,7.03,买,开,0.00,39.37,250247.86,
35,600093,20140925,,6300,7.57,卖,平,7953.75,47.72,258153.89,
36,600105,20140925,,4300,9.26,买,开,0.00,39.83,258114.06,
37,600070,20140929,,5500,8.69,卖,平,7965.87,47.80,266032.14,
38,600075,20140929,,5700,6.93,买,开,0.00,39.49,265992.65,
39,600053,20140930,,4700,10.07,卖,平,7889.51,47.34,273834.82,
40,600057,20140930,,4000,9.78,买,开,0.00,39.11,273795.72,
41,600072,20140930,,3400,13.91,卖,平,7884.46,47.31,281632.87,
42,600073,20140930,,4300,9.15,买,开,0.00,39.35,281593.53,
43,600073,20141017,,4300,8.42,卖,平,-3147.81,36.20,278409.52,
44,600078,20141020,,4600,8.52,买,开,0.00,39.21,278370.31,
45,600057,20141029,,4000,11.73,卖,平,7821.44,46.93,286144.82,
46,600082,20141029,,6200,6.39,买,开,0.00,39.64,286105.18,
47,600082,20141203,,6200,7.67,卖,平,7927.69,47.57,293985.31,
48,600084,20141203,,6800,5.85,买,开,0.00,39.77,293945.54,
49,600076,20141209,,5600,7.06,卖,平,142.24,39.51,294048.27,
50,600078,20141209,,4600,8.24,卖,平,-1324.34,37.89,292686.04,
51,600106,20141209,,7000,5.67,买,开,0.00,39.66,292646.38,
52,600127,20141209,,6300,6.28,买,开,0.00,39.58,292606.80,
53,600075,20141210,,5700,6.37,卖,平,-3159.44,36.33,289411.03,
54,600106,20141210,,7000,5.21,卖,平,-3173.02,36.49,286201.52,
55,600152,20141210,,4500,8.73,买,开,0.00,39.27,286162.25,
56,600382,20141210,,2600,14.89,买,开,0.00,38.71,286123.55,
57,600152,20141219,,4500,8.03,卖,平,-3141.50,36.13,282945.92,
58,600158,20141219,,2100,18.81,买,开,0.00,39.49,282906.42,
59,600158,20141230,,2100,18.08,卖,平,-1526.07,37.97,281342.39,
60,600199,20141230,,3200,12.33,买,开,0.00,39.46,281302.92,
61,600127,20150112,,6300,5.78,卖,平,-3166.23,36.41,278100.28,
62,600213,20150112,,2400,16.36,买,开,0.00,39.27,278061.01,
63,600199,20150113,,3200,11.35,卖,平,-3157.02,36.31,274867.69,
64,600366,20150113,,2200,18.16,买,开,0.00,39.95,274827.74,
65,600084,20150119,,6800,5.38,卖,平,-3181.26,36.58,271609.90,
66,600105,20150119,,4300,8.94,卖,平,-1374.71,38.45,270196.74,
67,600382,20150119,,2600,13.99,卖,平,-2330.64,36.38,267829.72,
68,600055,20150121,,1700,22.62,买,开,0.00,38.46,267791.26,
69,600071,20150121,,2900,13.62,买,开,0.00,39.51,267751.75,
70,600080,20150121,,3600,11.10,买,开,0.00,39.96,267711.79,
71,600080,20150206,,3600,10.21,卖,平,-3196.77,36.76,264478.25,
72,600071,20150212,,2900,16.35,卖,平,7902.44,47.41,272333.28,
73,600057,20150216,,3300,12.12,买,开,0.00,40.00,272293.28,
74,600062,20150216,,1600,24.75,买,开,0.00,39.59,272253.69,
75,600366,20150216,,2200,21.79,卖,平,7990.31,47.94,280196.06,
76,600367,20150216,,3000,13.15,买,开,0.00,39.45,280156.61,
77,600055,20150217,,1700,27.15,卖,平,7692.16,46.15,287802.62,
78,600061,20150217,,1700,23.50,买,开,0.00,39.95,287762.66,
79,600061,20150303,,1700,21.62,卖,平,-3196.37,36.76,284529.54,
80,600064,20150303,,3200,12.27,买,开,0.00,39.27,284490.27,
81,600064,20150311,,3200,14.73,卖,平,7853.76,47.12,292296.91,
82,600070,20150311,,4800,8.23,买,开,0.00,39.51,292257.40,
83,600057,20150330,,3300,14.54,卖,平,7999.20,48.00,300208.60,
84,600061,20150330,,1400,27.66,买,开,0.00,38.73,300169.87,
85,600070,20150330,,4800,9.88,卖,平,7902.24,47.41,308024.70,
86,600071,20150330,,2000,19.62,买,开,0.00,39.25,307985.45,
87,600367,20150403,,3000,15.78,卖,平,7890.12,47.34,315828.23,
88,600371,20150403,,2700,14.52,买,开,0.00,39.21,315789.01,
89,600071,20150413,,2000,23.55,卖,平,7849.72,47.10,323591.64,
90,600072,20150413,,2200,17.72,买,开,0.00,38.97,323552.66,
91,600061,20150415,,1400,28.14,卖,平,659.54,39.39,324172.81,
92,600105,20150415,,3000,13.07,买,开,0.00,39.21,324133.60,
93,600213,20150415,,2400,15.49,卖,平,-2100.00,37.17,321996.44,
94,600230,20150415,,2600,15.05,买,开,0.00,39.13,321957.31,
95,600105,20150416,,3000,12.02,卖,平,-3136.66,36.07,318784.58,
96,600167,20150416,,1900,20.76,买,开,0.00,39.44,318745.15,
97,600062,20150420,,1600,29.69,卖,平,7918.40,47.51,326616.04,
98,600090,20150420,,4700,8.34,买,开,0.00,39.21,326576.82,
99,600090,20150422,,4700,10.01,卖,平,7842.04,47.05,334371.82,
100,600101,20150422,,3000,13.00,买,开,0.00,39.00,334332.82,
101,600371,20150423,,2700,17.43,卖,平,7842.85,47.06,342128.62,
102,600390,20150423,,2300,17.35,买,开,0.00,39.91,342088.71,
103,600072,20150424,,2200,21.26,卖,平,7794.78,46.77,349836.71,
