日期,总权益,股票权益
20140101, 200000.00, 0.00
20140102, 200000.00, 0.00
20140103, 200000.00, 0.00
20140104, 200000.00, 0.00
20140105, 200000.00, 0.00
20140106, 200000.00, 0.00
20140107, 200000.00, 0.00
20140108, 200000.00, 0.00
20140109, 200000.00, 0.00
20140110, 200000.00, 0.00
20140111, 200000.00, 0.00
20140112, 200000.00, 0.00
20140113, 200000.00, 0.00
20140114, 200000.00, 0.00
20140115, 200000.00, 0.00
20140116, 200000.00, 0.00
20140117, 200000.00, 0.00
20140118, 200000.00, 0.00
20140119, 200000.00, 0.00
20140120, 200000.00, 0.00
20140121, 200000.00, 0.00
20140122, 200000.00, 0.00
20140123, 200000.00, 0.00
20140124, 203052.60, 200700.00
20140125, 203052.60, 200700.00
20140126, 203052.60, 200700.00
20140127, 202418.60, 200066.00
20140128, 201043.60, 198691.00
20140129, 202429.60, 200077.00
20140130, 203427.60, 201075.00
20140131, 203427.60, 201075.00
20140201, 203427.60, 201075.00
20140202, 203427.60, 201075.00
20140203, 203427.60, 201075.00
20140204, 203427.60, 201075.00
20140205, 203427.60, 201075.00
20140206, 203427.60, 201075.00
20140207, 204250.60, 201898.00
20140208, 204250.60, 201898.00
20140209, 204250.60, 201898.00
20140210, 207963.60, 205611.00
20140211, 208239.60, 205887.00
20140212, 209053.60, 206701.00
20140213, 207779.60, 205427.00
20140214, 210807.60, 208455.00
20140215, 210807.60, 208455.00
20140216, 210807.60, 208455.00
20140217, 213063.60, 210711.00
20140218, 213935.60, 211583.00
20140219, 217697.60, 215345.00
20140220, 216510.47, 206493.00
20140221, 217427.47, 207410.00
20140222, 217427.47, 207410.00
20140223, 217427.47, 207410.00
20140224, 219586.58, 212787.00
20140225, 216392.05, 126059.00
20140226, 216336.05, 126003.00
20140227, 216392.05, 126059.00
20140228, 216616.05, 126283.00
20140301, 216616.05, 126283.00
20140302, 216616.05, 126283.00
20140303, 217680.05, 127347.00
20140304, 218016.05, 127683.00
20140305, 217624.05, 127291.00
20140306, 217176.05, 126843.00
20140307, 217176.05, 126843.00
20140308, 217176.05, 126843.00
20140309, 217176.05, 126843.00
20140310, 214880.05, 124547.00
20140311, 216280.05, 125947.00
20140312, 215776.05, 125443.00
20140313, 216112.05, 125779.00
20140314, 215272.05, 124939.00
